stem,keep_frac,gtm_vs_gt_psnr_keep,unmasked_split,unmasked_psnr_full,unmasked_psnr_keep,unmasked_psnr_excl,native_prompt_split,native_prompt_psnr_full,native_prompt_psnr_keep,native_prompt_psnr_excl,masked_split,masked_psnr_full,masked_psnr_keep,masked_psnr_excl
DJI_0024,0.7790773333333333,40.97842788696289,train,26.14089012145996,25.94029998779297,26.9328670501709,train,27.36391830444336,27.085037231445312,28.520950317382812,train,10.806571006774902,25.578128814697266,4.3632378578186035
DJI_0025,0.744176,41.33808135986328,train,27.521102905273438,27.157150268554688,28.795366287231445,train,27.99114418029785,27.63138198852539,29.247682571411133,train,10.327188491821289,27.898181915283203,4.46351432800293
DJI_0026,0.7323893333333333,41.0347900390625,train,29.60413932800293,29.349363327026367,30.389108657836914,train,29.712432861328125,29.323637008666992,30.99850082397461,test,10.37171745300293,19.355709075927734,5.068490028381348
DJI_0027,0.735664,40.42564010620117,test,21.109506607055664,20.066246032714844,27.229928970336914,test,21.09577178955078,20.03180694580078,27.5277042388916,train,10.337562561035156,27.508909225463867,4.620843410491943
DJI_0028,0.743712,41.204078674316406,train,28.063526153564453,28.06679916381836,28.05404281616211,train,27.652894973754883,27.548158645629883,27.97195816040039,train,10.704344749450684,27.700382232666016,4.856614589691162
DJI_0029,0.7504533333333333,41.26167297363281,train,27.68941879272461,27.693408966064453,27.67743682861328,train,28.47612190246582,28.149120330810547,29.640487670898438,train,10.82157039642334,27.98522186279297,4.856167316436768
DJI_0030,0.7552906666666667,41.07389831542969,train,28.251785278320312,27.931135177612305,29.423730850219727,train,28.626094818115234,28.2241153717041,30.170888900756836,train,10.765668869018555,28.396549224853516,4.709145545959473
DJI_0031,0.759776,40.97978591918945,train,28.578691482543945,28.418550491333008,29.127944946289062,train,29.47699737548828,29.165393829345703,30.641891479492188,train,10.683493614196777,27.484338760375977,4.559136867523193
DJI_0032,0.764112,40.919918060302734,train,28.25506591796875,28.04143524169922,29.029523849487305,train,28.680404663085938,28.667217254638672,28.72340965270996,train,10.734832763671875,27.806604385375977,4.527511119842529
DJI_0033,0.768496,40.84535217285156,train,28.63528060913086,28.713794708251953,28.38437271118164,train,29.116342544555664,29.24514389038086,28.714252471923828,train,10.83299732208252,28.280624389648438,4.5390729904174805
DJI_0034,0.7720586666666667,40.990447998046875,train,28.008804321289062,28.116840362548828,27.661645889282227,train,29.27912139892578,29.453489303588867,28.735692977905273,test,10.592984199523926,21.759614944458008,4.435403823852539
DJI_0035,0.7767786666666666,40.67017364501953,test,23.954946517944336,23.1845760345459,28.841556549072266,test,24.401382446289062,23.737985610961914,28.110410690307617,train,10.688674926757812,28.28542709350586,4.235098838806152
DJI_0036,0.780928,40.70122528076172,train,28.204927444458008,27.950037002563477,29.258882522583008,train,29.26873016357422,29.294918060302734,29.176647186279297,train,10.51186752319336,27.748687744140625,3.9822921752929688
DJI_0037,0.7858666666666667,40.3617057800293,train,28.76024627685547,28.624570846557617,29.298009872436523,train,28.741775512695312,28.746341705322266,28.725051879882812,train,10.444856643676758,28.299312591552734,3.807997941970825
DJI_0038,0.7899413333333334,40.449851989746094,train,27.87067222595215,27.566341400146484,29.255159378051758,train,28.463207244873047,28.401277542114258,28.70433807373047,train,10.474432945251465,29.2672176361084,3.7433764934539795
DJI_0039,0.7948373333333333,40.55801773071289,train,28.432308197021484,28.193635940551758,29.50505828857422,train,28.425670623779297,28.319923400878906,28.861534118652344,train,10.427199363708496,28.902549743652344,3.597499132156372
DJI_0040,0.8023413333333334,41.03129959106445,train,29.529993057250977,29.29264259338379,30.6539249420166,train,29.43309783935547,29.430068969726562,29.445409774780273,train,10.474318504333496,30.407392501831055,3.4690074920654297
DJI_0041,0.8057653333333333,41.312564849853516,train,30.95456314086914,31.06031036376953,30.541473388671875,train,30.798492431640625,31.116191864013672,29.683738708496094,train,10.517091751098633,28.633508682250977,3.4546921253204346
DJI_0042,0.8108373333333333,40.94246292114258,train,28.5701961517334,28.389575958251953,29.44281768798828,train,28.786865234375,28.7552490234375,28.92505645751953,test,10.495561599731445,24.476314544677734,3.407062292098999
